entry,modelname,name,race_id,gender,unique_voice_name
68,Character\Human\Male\HumanMale.mdx,Stormwind City Guard,1,0,HumanMale
68,Character\Human\Female\HumanFemale.mdx,Stormwind City Guard,1,1,HumanFemale
196,Character\Human\Male\HumanMale.mdx,Eagan Peltskinner,1,0,HumanMale
197,Character\Human\Male\HumanMale.mdx,Marshal McBride,1,0,HumanMale
198,Character\Human\Male\HumanMale.mdx,Khelden Bremen,1,0,HumanMale
223,Character\Scourge\Male\ScourgeMale.mdx,Dan Golthas,5,0,ScourgeMale
233,Character\Human\Male\HumanMale.mdx,Farmer Saldean,1,0,HumanMale
234,Character\Human\Male\HumanMale.mdx,Gryan Stoutmantle,1,0,HumanMale
235,Character\Human\Female\HumanFemale.mdx,Salma Saldean,1,1,HumanFemale
237,Character\Human\Male\HumanMale.mdx,Farmer Furlbrow,1,0,HumanMale
238,Character\Human\Female\HumanFemale.mdx,Verna Furlbrow,1,1,HumanFemale
239,Character\Dwarf\Male\DwarfMale.mdx,Grimbooze Thunderbrew,3,0,DwarfMale
240,Character\Human\Male\HumanMale.mdx,Marshal Dughan,1,0,HumanMale
241,Character\Human\Male\HumanMale.mdx,"Remy ""Two Times""",1,0,HumanMale
244,Character\Human\Female\HumanFemale.mdx,Ma Stonefield,1,1,HumanFemale
246,Character\Human\Female\HumanFemale.mdx,"""Auntie"" Bernice Stonefield",1,1,HumanFemale
247,Creature\HumanMaleKid\HumanMaleKid.mdx,Billy Maclure,1,0,HumanMaleKid
248,Character\Human\Female\HumanFemale.mdx,Gramma Stonefield,1,1,HumanFemale
251,Character\Human\Female\HumanFemale.mdx,Maybell Maclure,1,1,HumanFemale
252,Character\Human\Male\HumanMale.mdx,Tommy Joe Stonefield,1,0,HumanMale
253,Character\Human\Male\HumanMale.mdx,William Pestle,1,0,HumanMale
255,Character\Human\Male\HumanMale.mdx,Gerard Tiller,1,0,HumanMale
261,Character\Human\Male\HumanMale.mdx,Guard Thomas,1,0,HumanMale
263,Character\Human\Male\HumanMale.mdx,Lord Ello Ebonlocke,1,0,HumanMale
264,Character\Human\Female\HumanFemale.mdx,Commander Althea Ebonlocke,1,1,HumanFemale
265,Character\Human\Female\HumanFemale.mdx,Madame Eva,1,1,HumanFemale
266,Character\Human\Male\HumanMale.mdx,Wiley the Black,1,0,HumanMale
267,Character\Human\Male\HumanMale.mdx,Clerk Daltry,1,0,HumanMale
268,Character\Human\Male\HumanMale.mdx,Sirra Von'Indi,1,0,HumanMale
270,Character\Human\Male\HumanMale.mdx,Councilman Millstipe,1,0,HumanMale
271,Character\Human\Male\HumanMale.mdx,Ambassador Berrybuck,1,0,HumanMale
272,Character\Human\Male\HumanMale.mdx,Chef Grual,1,0,HumanMale
273,Character\Human\Male\HumanMale.mdx,Tavernkeep Smitts,1,0,HumanMale
276,Character\Human\Male\HumanMale.mdx,Viktori Prism'Antras,1,0,HumanMale
277,Character\Human\Male\HumanMale.mdx,Roberto Pupellyverbos,1,0,HumanMale
278,Character\Human\Female\HumanFemale.mdx,Sara Timberlain,1,1,HumanFemale
279,Character\Human\Male\HumanMale.mdx,Morgan Pestle,1,0,HumanMale
288,Character\Human\Male\HumanMale.mdx,Jitters,1,0,HumanMale
289,Character\Human\Male\HumanMale.mdx,Abercrombie,1,0,HumanMale
294,Character\Human\Male\HumanMale.mdx,Marshal Haggard,1,0,HumanMale
295,Character\Human\Male\HumanMale.mdx,Innkeeper Farley,1,0,HumanMale
297,Character\Human\Male\HumanMale.mdx,Caretaker Folsom,1,0,HumanMale
302,Creature\Banshee\Banshee.mdx,Blind Mary,-1,-1,Banshee
311,Character\Human\Male\HumanMale.mdx,Sven Yorgen,1,0,HumanMale
313,Character\Human\Male\HumanMale.mdx,Theocritus,1,0,HumanMale
328,Character\Human\Male\HumanMale.mdx,Zaldimar Wefhellt,1,0,HumanMale
331,Character\Human\Male\HumanMale.mdx,Maginor Dumas,1,0,HumanMale
332,Character\Human\Male\HumanMale.mdx,Master Mathias Shaw,1,0,HumanMale
338,Character\Human\Male\HumanMale.mdx,Mazen Mac'Nadir,1,0,HumanMale
341,Character\Human\Male\HumanMale.mdx,Foreman Oslow,1,0,HumanMale
342,Character\Human\Female\HumanFemale.mdx,Martie Jainrose,1,1,HumanFemale
343,Character\Human\Female\HumanFemale.mdx,Chef Breanna,1,1,HumanFemale
344,Character\Human\Male\HumanMale.mdx,Magistrate Solomon,1,0,HumanMale
346,Character\Human\Male\HumanMale.mdx,Barkeep Daniels,1,0,HumanMale
347,Creature\Rabbit\Rabbit.mdx,Grizzle Halfmane,-1,-1,Rabbit
347,Character\Orc\Male\OrcMale.mdx,Grizzle Halfmane,2,0,OrcMale
349,Character\Human\Male\HumanMale.mdx,Corporal Keeshan,1,0,HumanMale
352,Character\Human\Male\HumanMale.mdx,Dungar Longdrink,1,0,HumanMale
375,Character\Human\Female\HumanFemale.mdx,Priestess Anetta,1,1,HumanFemale
376,Character\Human\Female\HumanFemale.mdx,High Priestess Laurena,1,1,HumanFemale
377,Character\Human\Female\HumanFemale.mdx,Priestess Josetta,1,1,HumanFemale
379,Character\Human\Female\HumanFemale.mdx,Darcy,1,1,HumanFemale
381,Character\Human\Male\HumanMale.mdx,Dockmaster Baren,1,0,HumanMale
382,Character\Human\Male\HumanMale.mdx,Marshal Marris,1,0,HumanMale
384,Character\Human\Female\HumanFemale.mdx,Katie Hunter,1,1,HumanFemale
392,Creature\HumanMalePirateCaptain\HumanMalePirateCaptain.mdx,Captain Grayson,1,0,HumanMalePirateCaptain
415,Character\Human\Male\HumanMale.mdx,Verner Osgood,1,0,HumanMale
459,Character\Human\Female\HumanFemale.mdx,Drusilla La Salle,1,1,HumanFemale
460,Character\Gnome\Male\GnomeMale.mdx,Alamar Grimm,7,0,GnomeMale
461,Character\Human\Female\HumanFemale.mdx,Demisette Cloyce,1,1,HumanFemale
